Field;Title;Short Title;Description;Source
Energieerzeugung;Gasnetztransformation & Wasserstoff ;Gasnetztransformation & Wasserstoff ;"Ziel 2030:
Die Stadtnetze Münster GmbH ist Teil der Initiative H2vorOrt, welche mit dem Gasnetzgebietstransformationsplan (GTP) einen branchenweiten Planungsprozess ins Leben gerufen hat, der die Grundlage für die deutschlandweite Wasserstofftransformation im Verteilnetz schafft. H2vorOrt ist ein Zusammenschluss von gegenwärtig 47 Verteilnetzbetreibern im Deutschen Verein des Gasund Wasserfaches e.V. (DVGW) in Zusammenarbeit mit dem Verband kommunaler Unternehmen (VKU), die ihre Expertise für einen Hochlauf der Wasserstoffwirtschaft bündeln. Ziel des GTP ist es, die Transformation der Gasverteilnetze zu beschleunigen und die Einzelplanungen der Netzbetreiber in ein kohärentes Zielbild für ganz Deutschland einzubetten.
Dabei geht es u. a. darum, durch die Umwidmung einzelner Übernahmestationen das Verteilnetz an das Wasserstoff-Fernnetz anzuschließen. Für alle weiteren Erzeugungsanlagen, die zukünftig betrieben werden sollen, planen die Stadtnetze Münster konkrete Ausbaupläne für die Versorgung mit klimaneutralen Gasen. Des Weiteren sollen durch gemeinsame Projekte mit den vorgelagerten Netzbetreibern frühzeitig Kapazitäten an Grünen Gasen gesichert und in die Verteilnetze eingespeist werden.
Darüber hinaus haben die Stadtwerke Münster gemeinsam mit der Westenergie AG beschlossen, den Hochlauf von Grünem Wasserstoff in Münster voranzutreiben. Diese Partnerschaft erstreckt sich auch auf ihre Tochtergesellschaften, die Westnetz GmbH und die Stadtnetze Münster GmbH. Durch eine Absichtserklärung (LOI) vereinbaren die vier Unternehmen den Erfahrungsaustausch bezüglich einer Wasserstoff-Infrastruktur und einer potenziellen Lieferabnahme von Wasserstoff durch die Stadtwerke Münster.";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Energieerzeugung;Integriertes Flächenkonzept MS (IFM): Siedlungs-, Frei-/Grünflächen und Standorte für erneuerbare Energien in Balance;Integriertes Flächenkonzept MS (IFM);"Mit dem Integrierten Flächenkonzept Münster richtet die Stadt den Blick frühzeitig und proaktiv auf künftige Entwicklungen. Ziel ist es, Entwicklungsflächen unter anderem für neue Wohnund Arbeitsstätten zu identifizieren, Flächenpotenziale für eine klimaneutrale Energieversorgung zu verorten und gleichzeitig die hochwertigen Freiräume der Stadt als wesentliches Alleinstellungsmerkmal zu schützen und weiterzuentwickeln. Damit soll ein nachhaltiger Rahmen für die zukünftige räumliche Stadtentwicklung geschaffen und zugleich in Bezug auf künftige Wohnund Arbeitsstättenbedarfe die Handlungsfähigkeit Münsters bewahrt werden.
Der IFM-Prozess soll insofern eine fachlich ausgewogene Abwägung der unterschiedlichen Ansprüche an den Raum vorbereiten, er ist informell und wird proaktiv von der Stadt durchgeführt.";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Energieerzeugung;Glasfaserausbau Münster ;Glasfaserausbau Münster ;"Ziel 2030:
Eine leistungsfähige Glasfaserversorgung wird als Standortfaktor für Münster zukünftig noch viel entscheidender werden, daher stellen die Stadtwerke Münster auch den „digitalen Herzschlag“ ihrer Stadt sicher. Bis zum Jahr 2030 sollen 80 % der Haushalte in Münster mit Glasfaserverbindungen versorgt sein. Dazu haben die Stadtwerke Münster u. a. eine umfassende Kooperation mit der Deutschen Telekom vereinbart, bei der die Stadtwerke ihre Expertise für die Verlegung der Glasfaserleitungen einbringen werden und die Telekom ihr Know-how bereitstellt.
Aufgrund ihrer höheren Effizienz verbraucht die Glasfasertechnologie deutlich weniger Strom als kupferbasierte Netze (bis zu 17-mal weniger Strom). Dadurch leistet der Glasfaserausbau der Stadtwerke Münster einen entscheidenden Beitrag zum Ziel der Klimaneutralität in Münster.";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Bauen und Sanieren;Strategie zur Erreichung der Klimaneutralität 2030 für städtische Gebäude;Strategie für städtische Gebäude;Strategie zur Erreichung der Klimaneutralität 2030 mittels der Sanierung von 46 Standorten auf der Grundlage des Beschlusses zu den Gebäudeleitlinien: „Der Energieverbrauch der städtischen Gebäude soll bis zum Jahr 2030 um 50 % sowie die CO2-Emissionen um 70 % reduziert werden“ (ggü. 1990).;Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Bauen und Sanieren;Energetische und klimagerechte Quartierssanierung;Quartierssanierung;Energetische und klimagerechte Quartierssanierung – Klimaschutz und Klima- anpassung im Quartier: zentrales Vorhaben zur Erhöhung der allgemeinen Sa- nierungsrate – Zukunftsfähige, nutzungsflexible Stadtquartiere fördern – Klima- schutz, Wohnangebote, Energieversorgung, Mobilität und Nahversorgung und weitere Themen in Münster integriert betrachten.;Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Bauen und Sanieren;Gebäudeleitlinien bzw. energetischer Standard für Neubauten;Gebäudeleitlinien/Standards Neubauten;"Der Rat der Stadt Münster hat am 26. August 2020 die überarbeiteten Gebäu- deleitlinien mit einem Änderungsantrag für Münster beschlossen. Der Energie- verbrauch der städtischen Gebäude soll bis zum Jahr 2030 um 50 % sowie die CO2-Emissionen um 70 % reduziert werden. Sowohl für Neubau- als auch für Umbau- und Sanierungsmaßnahmen gibt es verbindliche Qualitätskriterien und eine Richtschnur für alle am Bauprozess städtischer Gebäude Beteiligten. Die Gebäudeleitlinien gelten dabei für alle Gebäude der Stadt Münster. Die städti- schen Tochterunternehmen wurden laut Beschluss auch aufgefordert, die Ge-
bäudeleitlinien zu beschließen und anzuwenden.";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Bauen und Sanieren;Sanierungsstrategie Wohn- und  Stadtbau GmbH;Sanierungsstrategie Wohn- und  Stadtbau GmbH;Umstellung auf CO2-freie Wärme- und Warmwasserversorgung des Gebäude- bestands  und  Verbrauchsreduktion:  Dämmung,  Teil-  und  Vollsanierung,  Be- triebsoptimierung;Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Bauen und Sanieren;Thermografiebefliegung MS;Thermografiebefliegung MS;"Das Projekt setzt sich aus drei Phasen zusammen:
1.   Thermografiebefliegung: Aufnahme der Wärmebilder von Münsters Dachlandschaft und Datenauswertung
2.   Anschreiben der Hauseigentümer*innen sowie Beratungsangebot zur energetischen Sanierung 3.   Fortlaufende kostenfreie Energieberatung, Zustellung und Interpreta- tionsunterstützung bei der Auswertung der Thermografieaufnahmen";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Bauen und Sanieren;Förderprogramm  klimafreundliche  Wohngebäude;Förderprogramm  klimafreundliche  Wohngebäude;"Die Stadt Münster fördert mit dem Förderprogramm vielfältige Maßnahmen zur energetischen Optimierung von Wohngebäuden im Stadtgebiet. Von der Ge- bäudedämmung  und  dem  Heizungsaustausch  über  Dachbegrünung  bis  zu ökologischen Dämmstoffen gibt es viele Möglichkeiten, einen wichtigen Beitrag
zur Reduzierung der CO2-Emissionen in Münster zu leisten.";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Bauen und Sanieren;PV-Anlagen auf städtischen Gebäuden;PV-Anlagen auf städtischen Gebäuden;Bei allen zukünftigen Neu- und Erweiterungsbauten werden Dachflächen voll- flächig mit PV-Anlagen ausgestattet, Ratsvorlage wird erstellt und kommt vor der Sommerpause 2024 in die Beratungskette.;Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Bauen und Sanieren;Leitfaden klimagerechte Bauleitplanung;Leitfaden klimagerechte Bauleitplanung;Der Planungsleitfaden listet die Belange von Klimaschutz und Klimaanpassung auf, die in den jeweiligen Planungsphasen berücksichtigt werden müssen.;Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Bauen und Sanieren;Münsters    „Standard    für    klimagerechtes Bauen“   in   „Grundstückskaufverträgen   und städtebaulichen Verträgen“;Standard    für    klimagerechtes Bauen;"Durch  die  Kombination  aus  dem  Standard  „KfW-Effizienzhaus-/gebäude  40“ und  dem  Solarstandard  wird  der  CO2-Ausstoß  beim  Betrieb  von  Neubauten deutlich gesenkt und je nach Gebäude bilanziell auch ein Plus-Energie-Stan-
dard erreicht, mit dem das Gebäude über das Jahr mehr Energie erzeugt, als es verbraucht.";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Mobilität;Elektrifizierung ÖPNV;Elektrifizierung ÖPNV;"Ziel 2030:
Ein weiterer wichtiger Baustein für den Herzschlag Münsters ist die Umstellung der Busflotte auf elektrische und emissionsfreie Antriebe sowie die Entwicklung des Verkehrs zu einem systematisch ineinandergreifenden multimodalen Mo- bilitätssystem. Bis 2029 sollen 100 % der eigenen 116 Busse und ebenso ein Teil der rd. 100 angemieteten Busse aus den dezentralen Depots der privaten Partnerunternehmen am Stadtrand elektrifiziert sein.
Parallel wird die dafür notwendige Infrastruktur am Bus-Depot sowie an ausge- wählten, Haltestellen aufgebaut. Zur Finanzierung des Vorhabens werden ver- schiedene Förderprogramme genutzt. Auf die Elektrifizierung der Bus-Flotte der Auftragsunternehmen und der regionalen Verkehrsunternehmen wirken die Stadtwerke im Rahmen ihrer Möglichkeiten hin.
Das multimodale Mobilitätssystem wird verschiedene Verkehrsmittel integrie- ren, unter anderem das Stadtteilauto über die Beteiligung der Stadtwerke an dem gleichnamigen lokalen Carsharing-Anbieter.";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Mobilität;Ausbau öffentlicher Ladeinfrastruktur;Ausbau öffentlicher Ladeinfrastruktur;"Die  öffentliche  Ladeinfrastruktur  soll  fortlaufend  weiterentwickelt  und  ausge- baut werden, sodass zukünftig ein flächendeckendes Angebot an Lademög-
lichkeiten bereitgestellt werden kann und der Umstieg auf E-Fahrzeuge attrak- tiver wird.";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Mobilität;Erweiterung E-Carsharing Angebot;Erweiterung E-Carsharing Angebot;Um den Umweltverbund zu stärken, den stadtweiten Kfz-Bestand zu reduzie- ren und den Zugang zum stadtweiten Carsharing-Angebot (auch E-Carsharing) zu verbessern, werden hierfür Flächen im Verkehrsraum bereitgestellt und po- tenziellen Anbietern im Ausschreibungsverfahren zur Verfügung gestellt.;Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Mobilität;Ausbau Mobilstationen;Ausbau Mobilstationen;"Durch den Ausbau von Mobilstationen soll die Vernetzung der Verkehrsträger – insbesondere die des Umweltverbundes – verbessert werden.
Nach der Festlegung von Qualitätsstandards soll, nach entsprechendem politi- schem Beschluss über das Standortkonzept, ab 2024 die sukzessive Umset- zung erfolgen.";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Mobilität;Parkraumkonzept;Parkraumkonzept;"Es wird ein maßnahmenorientiertes Konzept zur Neuordnung und Anpassung des Parkraumangebots in der Innenstadt entwickelt. Die Ziele dabei sind, das sichtbare  Parken im  öffentlichen Raum  zu reduzieren und damit die Aufent- haltsqualität und Barrierefreiheit zu erhöhen. Hierbei sollen die Bewohnerpark-
zonen ausgeweitet, ein Parkraumanagement eingeführt und das „faire Parken“ umgesetzt werden.";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Mobilität;Fahrradnetz 2.0;Fahrradnetz 2.0;"Unter der Überschrift „Fahrradnetz 2.0“ wird eine Hierarchisierung und insge- samte Verbesserung des städtischen Radverkehrsnetzes angestrebt – mit dem Ziel, den Radverkehrsanteil am Umweltverbund weiter zu steigern und damit verkehrsbedingte CO2-Emissionen zu reduzieren. Hierfür wurden im Rahmen
der Konzepterstellung  verschiedene  Handlungsempfehlungen entwickelt, die Anfang 2024 in die politische Beratung eingebracht wurden.";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Mobilität;Geschäftsanweisung „Dienstreisen und- gänge im Umweltverbund“;Geschäftsanweisung Dienstreisen;"Definition  eines  Rahmens  für  Dienstreisen,  der  Nachhaltigkeits-  und  Klima-
schutzaspekte verbindlich einbezieht.";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Mobilität;Ausbau von Mitarbeitendenmobilitäts-Angeboten;Ausbau von Mitarbeitendenmobilitäts-Angeboten;Um die Mitarbeitenden bei der Nutzung des Umweltverbunds für den Arbeits- weg zu unterstützen/zu supporten/zu fördern oder Anreize/Incentives zum Um- stieg vom MIV auf den Umweltverbund zu geben, befinden sich verschiedene Projekte in Planung oder sind bereits umgesetzt.;Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Mobilität;Reduzierung & Elektrifizierung Fuhrpark;Reduzierung & Elektrifizierung Fuhrpark;"Der städtische Fuhrpark soll fortlaufend auf E-Mobilität umgestellt werden. Dies geschieht bereits bei vielen Ersatzbeschaffungen. Außerdem wird der Umfang
des städtischen Fuhrparks kritisch analysiert, um Überkapazitäten abzubauen. Zur Beschleunigung und Systematisierung des Prozesses werden darüber hin- aus u. a. die folgenden Instrumente, Projekte und Begleitprozesse initiiert:
?     Sondierung Fahrzeugbestand
?     Weitere Verlagerung auf Carsharing
?     Einführung Fuhrparkmanagement (perspektivisch)
?     Dienstwagen-Pooling";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Mobilität;S-Bahn-Münsterland;S-Bahn-Münsterland;Der Schienenpersonennahverkehr soll in den nächsten Jahren massiv gestärkt und damit eine deutliche Verlagerung des Pendlerverkehrs vom motorisierten Individualverkehr  auf  den  Umweltverbund  insgesamt  erreicht  werden.  Dazu sollen neben zusätzlichen Zugfahrten auf den vorhandenen Strecken auch still- gelegte Bahntrassen reaktiviert und neue Haltepunkte gebaut werden.;Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Mobilität;Neukonzeption des bestehenden ÖPNV-An- gebotes;Neukonzeption des ÖPNV-Angebotes;"Das bestehende ÖPNV-Angebot wird fortan weiterentwickelt und -konzeptio- niert, mit dem Ziel, den Umweltverbund zu stärken und dadurch die verkehrs- bedingten Emissionen zu reduzieren. Ein zentraler Baustein dabei ist die Auf-
stellung des Nahverkehrsplans.";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Klimahaushalt;Ökosoziale Vergaben;Ökosoziale Vergaben;"Der Rat hat den Oberbürgermeister am 07.09.2022 beauftragt, in einem gemeinsamen Arbeitskreis von Politik und Verwaltung sozial-ökologische Kriterien für die Beschaffung von Waren, Diensten und Werken zu entwickeln und ein Verfahren vorzuschlagen, wie man deren Einhaltung gesetzeskonform sichern und überwachen kann.
Die Verwaltung hat dem Arbeitskreis einen Richtlinientext vorgeschlagen und zur Diskussion in den politischen Kreisen mit ihnen nahestehenden Interessenvertretern aus der Zivilgesellschaft überlassen. Die durch die politischen Vertretungen mit Änderungsvorschlägen kommentierte Version befindet sich nun zur Stellungnahme in der Verwaltung, damit der Arbeitskreis sodann abstimmen kann, welche Fassung er dem Rat vorschlägt.";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
